output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,1.3017921404058657e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.025,1.3786565954502359e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.05,1.4267208499323344e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.1,2.7862823188656844e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.15,4.053069126894208e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.2,4.207687728909583e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.25,5.375918681743201e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.3,5.542345331569494e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.35,5.668088249025921e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.4,6.812280620435354e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.45,7.006498678203993e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.5,7.910980027009983e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.55,8.304972716177124e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.6,8.618330821473445e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.65,9.62676467466719e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.7,9.922383932644285e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.75,0.0010991762937506086,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.8,0.0011430027201409629,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.85,0.001276162424924612,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.9,0.0014218500358669215,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.95,0.0016557931392992184,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.975,0.0018325283446564717,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.99,0.002149813187968279,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,02
quantile,0.01,3.4983834085696407e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.025,3.9156476415838e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.05,4.3366309627006e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.1,4.867207548770664e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.15,5.320537625348363e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.2,5.70374020576766e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.25,6.025864335884197e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.3,6.2922101089362e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.35,6.570826086901355e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.4,6.822161492754548e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.45,7.047533190720579e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.5,7.311634306723838e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
quantile,0.55,7.619820599045182e-4,2026-05-09,wk inc rsv prop ed visits,0,2026-05-09,01
