output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,4.1569553162118603e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.025,5.5120771590608e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.05,6.803833871775276e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.1,8.348978427342199e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.15,9.684950025945543e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.2,0.0010224348570229528,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.25,0.0011317488871045928,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.3,0.0012426055444106296,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.35,0.0012870186472090104,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.4,0.00138736527205192,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.45,0.0014359283192743118,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.5,0.0015408251651723205,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.55,0.0016247500881480014,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.6,0.0017024130691148346,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.65,0.0018093876107676842,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.7,0.001911284169936549,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.75,0.0020134111046944134,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.8,0.0021197506350996947,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.85,0.002251593242729015,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.9,0.0024431137356360337,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.95,0.00279062620499735,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.975,0.0030325376189191252,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.99,0.0034261186946764484,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,02
quantile,0.01,4.618555541450474e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.025,5.273026060416602e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.05,5.862594764648691e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.1,6.437292131763236e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
quantile,0.15,6.971170416757615e-4,2026-05-02,wk inc rsv prop ed visits,0,2026-05-02,01
