output_type,output_type_id,value,reference_date,target,horizon,target_end_date,location
quantile,0.01,0,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.025,0,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.05,0,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.1,1,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.15,1,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.2,2,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.25,2,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.3,2,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.35,2,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.4,3,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.45,3,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.5,3,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.55,3,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.6,4,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.65,4,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.7,5,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.75,5,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.8,5,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.85,6,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.9,7,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.95,8,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.975,10,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.99,12,2026-05-09,wk inc rsv hosp,0,2026-05-09,02
quantile,0.01,1,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.025,2,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.05,3,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.1,4,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.15,4,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.2,5,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.25,5,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.3,6,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.35,6,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.4,7,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.45,7,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.5,8,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.55,8,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.6,9,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.65,9,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.7,10,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.75,11,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.8,11,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.85,12,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.9,14,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.95,16,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.975,18,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.99,21,2026-05-09,wk inc rsv hosp,0,2026-05-09,01
quantile,0.01,2,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.025,3,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.05,4,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.1,5,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.15,6,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.2,6,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.25,7,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.3,8,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.35,8,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.4,9,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.45,9.550000000000068,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.5,10,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.55,11,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.6,11,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.65,12,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.7,13,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.75,13,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.8,14,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.85,15,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.9,17,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.95,19,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.975,21,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.99,24,2026-05-09,wk inc rsv hosp,0,2026-05-09,05
quantile,0.01,12,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.025,14,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.05,16,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.1,18,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.15,20,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.2,22,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.25,23,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.3,24,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.35,26,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.4,27,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.45,28,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.5,29,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.55,30,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.6,31,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.65,33,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.7,34,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.75,36,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.8,38,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.85,40,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.9,43,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.95,47,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.975,52,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.99,56.00999999999999,2026-05-09,wk inc rsv hosp,0,2026-05-09,04
quantile,0.01,46,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.025,52,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.05,56,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.1,61,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.15,65,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.2,68,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.25,71,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.3,73,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.35,75,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.4,77,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.45,79,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.5,81,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.55,84,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.6,86,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.65,88,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.7,90,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.75,93,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.8,97,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.85,101,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.9,105,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.95,113,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.975,122,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.99,133.01,2026-05-09,wk inc rsv hosp,0,2026-05-09,06
quantile,0.01,17,2026-05-09,wk inc rsv hosp,0,2026-05-09,08
quantile,0.025,20,2026-05-09,wk inc rsv hosp,0,2026-05-09,08
quantile,0.05,23,2026-05-09,wk inc rsv hosp,0,2026-05-09,08
quantile,0.1,27,2026-05-09,wk inc rsv hosp,0,2026-05-09,08
quantile,0.15,30,2026-05-09,wk inc rsv hosp,0,2026-05-09,08
