reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.01,2.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.025,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.05,3.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.1,5.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.15,6.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.2,6.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.25,7.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.3,8.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.35,8.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.4,8.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.45,9.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.5,9.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.55,10.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.6,11.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.65,12.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.7,13.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.75,14.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.8,14.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.85,18.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.9,21.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.95,26.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.975,35.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,01,quantile,0.99,48.5
2026-05-09,wk inc rsv hosp,0,2026-05-09,02,quantile,0.01,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,02,quantile,0.025,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,02,quantile,0.05,0.0
2026-05-09,wk inc rsv hosp,0,2026-05-09,02,quantile,0.1,0.0
