reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.01,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.025,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.05,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.1,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.15,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.2,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.25,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.3,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.35,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.4,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.45,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.5,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.55,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.6,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.65,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.7,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.75,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.8,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.85,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.9,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.95,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.975,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,01,quantile,0.99,10
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.01,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.025,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.05,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.1,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.15,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.2,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.25,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.3,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.35,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.4,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.45,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.5,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.55,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.6,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.65,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.7,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.75,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.8,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.85,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.9,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.95,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.975,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,02,quantile,0.99,2
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.01,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.025,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.05,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.1,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.15,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.2,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.25,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.3,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.35,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.4,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.45,30
2026-05-09,-1,wk inc rsv hosp,2026-05-02,04,quantile,0.5,30
