reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.01,3
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.025,4.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.05,5.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.1,6.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.15,7.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.2,8
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.25,9
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.3,10
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.35,10.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.4,11
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.45,11.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.5,12.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.55,13.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.6,14
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.65,15
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.7,16
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.75,17.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.8,18
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.85,20
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.9,21
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.95,24.5
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.975,29.25
2026-05-02,01,0,wk inc rsv hosp,2026-05-02,quantile,0.99,33.5
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.01,2
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.025,3.25
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.05,4
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.1,4.5
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.15,5.25
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.2,5.5
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.25,6.75
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.3,7.5
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.35,8
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.4,9
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.45,9.75
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.5,10.25
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.55,10.75
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.6,11.5
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.65,12
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.7,13
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.75,15
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.8,16.25
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.85,18
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.9,20
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.95,23.5
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.975,27
2026-05-02,01,1,wk inc rsv hosp,2026-05-09,quantile,0.99,31
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.01,1
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.025,1
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.05,2
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.1,2
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.15,3
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.2,4
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.25,4
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.3,5
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.35,5
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.4,6
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.45,7
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.5,7
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.55,8
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.6,9
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.65,10
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.7,10
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.75,11
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.8,13
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.85,14
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.9,16
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.95,21
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.975,25
2026-05-02,01,2,wk inc rsv hosp,2026-05-16,quantile,0.99,31
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.01,1
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.025,1
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.05,1
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.1,2
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.15,2
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.2,3
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.25,3
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.3,4
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.35,4
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.4,5
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.45,5
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.5,6
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.55,6
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.6,7
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.65,7
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.7,8
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.75,9
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.8,10
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.85,12
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.9,14
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.95,18
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.975,22
2026-05-02,01,3,wk inc rsv hosp,2026-05-23,quantile,0.99,28
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.01,0
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.025,0.25
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.05,1
2026-05-02,02,0,wk inc rsv hosp,2026-05-02,quantile,0.1,1.25
