reference_date,horizon,target,target_end_date,location,output_type,output_type_id,value
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.01,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.025,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.05,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.1,15.618329449733324
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.15,20.919117101923742
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.2,22.77241014201266
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.25,50.60639123480959
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.3,62.35660274868059
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.35,70.18977966946663
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.4,74.6830603732
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.45,77.85649696769526
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.5,91.71733025
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.55,102.69515553230472
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.6,105.8685921268
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.65,110.36187283053336
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.7,118.1950497513194
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.75,129.9452612651904
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.8,157.77924235798733
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.85,159.63253539807624
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.9,164.9333230502667
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.95,181.94720037951748
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.975,262.21972271666675
2026-05-09,0,wk inc rsv hosp,2026-05-09,06,quantile,0.99,262.21972271666675
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.01,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.025,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.05,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.1,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.15,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.2,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.25,3.907247170418984
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.3,17.982812253471423
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.35,35.48319714146663
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.4,38.288368956632034
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.45,41.82557252952001
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.5,45.733020375
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.55,46.97499397047999
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.6,50.51219754336797
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.65,53.31736935853337
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.7,70.81775424652858
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.75,84.89331932958102
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.8,93.65194095960004
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.85,94.66478613742476
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.9,132.64288413624007
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.95,150.2878999
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.975,150.2878999
2026-05-09,0,wk inc rsv hosp,2026-05-09,08,quantile,0.99,150.2878999
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.01,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.025,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.05,0.0
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.1,2.65240611825838
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.15,4.274397522370794
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.2,7.485624878381213
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.25,10.112497598902214
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.3,11.908362077063778
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.35,12.389977961501192
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.4,15.290037920455209
2026-05-09,0,wk inc rsv hosp,2026-05-09,09,quantile,0.45,17.484260907243808
